	featureCounts on data 80: Counts	featureCounts on data 81: Counts	featureCounts on data 82: Counts	featureCounts on data 77: Counts	featureCounts on data 78: Counts	featureCounts on data 79: Counts
100287102	0	0	0	0	0	0
653635	188.904729304061	318.49916501222	70.3383404681308	97.0952124662076	93.2396104757634	94.2029635818009
102466751	16.8664936878626	5.66724492904306	0.725137530599287	2.14180615734281	4.1749079317506	6.89289977427811
100302278	0	0	0	0	0	0
645520	0	0	0	0	0	0
79501	0	0	0	0	0	0
729737	539.727798011602	243.691531948852	37.7071515911629	14.9926431013997	187.870856928777	6.89289977427811
102725121	2.24886582504834	1.13344898580861	1.45027506119857	2.85574154312375	0	0
102723897	230.508747067455	257.292919778555	52.2099022031487	89.2419232226173	61.2319829990088	127.518645824145
102465909	1.12443291252417	0	0	0	0	0
729759	0	0	0	0	0	0
100132287	5.62216456262086	9.0675918864689	1.45027506119857	2.85574154312375	1.3916359772502	3.44644988713906
105378947	1.12443291252417	0	0	0	1.3916359772502	2.2976332580927
101928626	4.49773165009668	0	0	2.14180615734281	0	1.14881662904635
102465432	20.2397924254351	11692.6597376016	10.15192542839	4.28361231468563	23.6578116132534	12.6369829195099
81399	0	0	0	0	0	1.14881662904635
100133331	60.7193772763053	35.136918560067	29.7306387545708	12.1369015582759	52.8821671355076	53.9943815651786
100288069	7.8710303876692	21.5355307303636	25.379813570975	38.5525108321707	9.7414518407514	14.9346161776026
400728	2.24886582504834	0	5.80110024479429	2.85574154312375	1.3916359772502	6.89289977427811
79854	46.101749413491	31.7365716026412	5.07596271419501	17.1344492587425	22.2661756360032	19.529882693788
643837	366.56512948288	146.214919169311	165.331356976637	152.782172557121	413.315885243309	417.020436343826
284593	1.12443291252417	0	0.725137530599287	0	0	1.14881662904635
100130417	79.8347367892162	22.6689797161723	3.62568765299643	98.5230832377695	350.69226626705	21.8275159518807
148398	244.001942017745	23.8024287019809	11.6022004895886	220.60603420631	417.49079317506	88.4588804365691
26155	3454.25790727425	3009.30705732187	1373.41048295505	1955.46902165399	4593.79036090291	2576.79569895097
339451	585.829547425093	928.294719377254	104.419804406297	149.926431013997	353.475538221551	465.270734763773
84069	356.445233270162	89.5424698788804	102.969529345099	63.5402493345035	109.939242202766	175.768944244092
84808	129.30978494028	30.6031226168325	34.8066014687658	29.2713508170185	75.1483427715108	99.9470467270327
57801	1956.51326779206	1289.8649458502	504.695721297104	386.239043707488	583.095474467834	1388.91930451704
9636	2851.5618661613	3336.87381422056	384.322891217622	2233.90382210856	741.741975874357	852.421938752393
375790	11418.616226683	7536.30230664147	7088.21936160803	3651.06556288372	11556.1451550857	16747.4488182377
105369174	105.696693777272	9.0675918864689	9.42678789779073	8.56722462937126	25.0494475905036	28.7204157261588
105378948	275.486063568422	19.2686327587464	29.7306387545708	23.559867730771	26.4410835677538	116.030479533682
401934	389.053787733363	11.3344898580861	47.1339394889537	198.474037247101	98.8061543847642	11.4881662904635
54991	810.716129929928	624.530391180546	205.939058690197	273.437252754099	1475.13413588521	626.105062830262
254099	11.2443291252417	4.53379594323445	8.70165036719144	2.14180615734281	8.3498158635012	3.44644988713906
406984	26.9863899005801	7.93414290066029	4.35082518359572	4.28361231468563	1.3916359772502	13.7857995485562
406983	24.7375240755318	5.66724492904306	12.3273380201879	1.42787077156188	0	13.7857995485562
554210	97.8256633896029	21.5355307303636	15.9530256731843	5.71148308624751	20.874539658753	57.4408314523176
254173	26.9863899005801	22.6689797161723	7.25137530599287	5.71148308624751	13.916359772502	2.2976332580927
8784	697.148405764986	210.821511360402	31.9060513463686	37.1246400606088	275.54392349554	566.366598119852
7293	167.540503966102	155.28251105578	86.2913661413151	61.3984431771607	565.004206763581	94.2029635818009
51150	5110.54758742236	3290.4024058024	2582.21474646406	2120.38809576939	6924.78062279699	5804.97042657122
126792	919.786122444772	960.031290979895	619.267451131791	565.436825538503	1427.81851265871	1569.28351527732
388581	89.9546330019337	51.0052043613876	7.97651283659216	2.85574154312375	37.5741713857554	52.8455649361322
118424	2255.61242252349	1411.14398733172	848.410910801166	824.595370576984	2293.41609050833	1386.62167125895
6339	244.001942017745	189.285980630038	34.8066014687658	81.388633979027	25.0494475905036	394.044103762899
116983	3527.34604658833	1655.96896826638	718.611292823893	1221.54344507119	1483.48395174871	2412.51492099734
102465434	0	0	0	0	0	0
126789	366.56512948288	283.362246452153	274.82712409713	390.522656022173	744.525247828857	271.120724454939
54973	2486.12116959094	1971.06778632118	1031.14556851219	786.042859744813	2606.53418538962	2556.11699962813
102465435	2.24886582504834	0	0	0	0	0
80772	1361.68825706677	787.747045136986	565.607273867444	595.422111741303	2076.3208780573	986.833484350817
83756	347.449769969969	108.811102637627	93.542741447308	52.1172831620085	199.003944746779	32.1668656132979
1855	4745.106890852	2902.76285265586	1398.79029652602	1712.73099048847	3342.70961735498	2195.38857810758
102466740	0	0	0	0	0	0
54587	3263.10431214515	1016.70374027033	2445.1637531808	1119.45068490451	1963.59836390003	13693.8942182325
54998	2355.68695173814	1662.76966218123	1098.58335885792	1028.78089091033	3999.56179861707	2420.55663740066
81669	3778.09458608122	2667.00546360767	1416.91873479101	1207.26473735557	2883.46974486241	3332.71704086347
148413	400.298116858605	196.08667454489	368.369865544438	262.728221967385	674.943448966347	670.90891136307
55052	1179.53012523786	961.164739965703	1148.61784846927	930.257807672563	2196.00157210082	1458.99711888887
