Geneid	Samtools sort on 310(R)
55721	82
149069	12
8668	2569
339483	62
84734	44
3932	351
3065	2388
65108	3755
100128071	18
81629	36
55108	2939
728116	1
653121	228
339487	252
5928	1732
81493	45
57648	4880
8565	1817
64766	396
252995	26
3208	6
113452	1051
127544	690
204	2165
113451	77
55223	276
149076	350
127550	0
1912	1702
100500853	0
101929464	2
7579	174
114784	17
127540	0
402779	0
84970	0
693137	0
2709	90
127534	10
2707	46
2701	222
113444	555
58512	165
653160	25
100506144	279
9204	388
79830	228
6421	5774
9202	1810
79932	1873
23154	829
339488	17
5690	2232
127703	352
63967	245
192670	749
26523	805
192669	321
27285	18
54936	564
1296	307
27095	807
55700	1982
9967	3063
79729	228
55194	418
83931	1453
84967	389
127700	131
64960	773
1441	186
2899	443
100422898	0
728431	104
80149	576
102465438	3
64769	1581
100847010	6
79753	449
7802	714
29889	1169
284654	8
54955	480
55143	440
284656	529
149175	811
79693	423
127687	1021
4520	721
3633	285
10946	1230
2275	234
51118	456
5453	14
100500801	0
339442	0
64121	640
100527950	0
26292	3
81025	0
54933	39
79647	1540
4725	1436
23499	2971
643314	86
105378950	8
353500	131
728448	32
8761	1932
101929516	9
677834	0
26508	242
84618	0
51440	3
10450	413
656	194
64064	4
105378951	5
101929536	0
54802	297
4610	172
84879	73
10487	4303
5538	3001
6018	531
127391	0
10269	2070
1298	137
64744	1088
65243	38
339559	35
64789	100
127396	25
9783	112
100130557	6
4802	603
407034	0
407031	0
9132	11
163732	1734
1503	632
100507178	20
200172	9
22955	549
100132074	155
1907	9
59269	362
2981	0
2980	0
22887	1814
284716	60
84217	8
79717	1433
728621	23
10465	209
4904	4785
149461	2
64175	374
79078	107
100129924	1
374969	120
114625	524
51058	140
339539	5
6513	6037
440584	17
105378684	3
440585	62
10969	1230
102465439	2
149465	37
128218	374
149466	197
7075	417
4352	3
991	567
64834	1548
102466723	0
112950	504
23334	603
102465440	0
81888	8
5792	9511
9682	1209
100132774	11
6487	150
101929592	1
102464830	0
9048	35
9670	753
1802	542
533	2712
8704	716
149473	211
6536	1254
128209	41
105378952	0
55929	617
79033	811
100874278	6
55182	908
100847089	0
79639	73
339541	10
