Geneid	Samtools sort on 313(R)
100287102	0
653635	67
102466751	3
100302278	0
645520	0
79501	0
729737	135
102725121	0
102723897	44
102465909	0
729759	0
100132287	1
105378947	1
101928626	0
102465432	17
81399	0
100133331	38
100288069	7
400728	1
79854	16
643837	297
284593	0
100130417	252
148398	300
26155	3301
339451	254
84069	79
84808	54
57801	419
9636	533
375790	8304
105369174	18
105378948	19
401934	71
54991	1060
254099	6
406984	1
406983	0
554210	15
254173	10
8784	198
7293	406
51150	4976
126792	1026
388581	27
118424	1648
6339	18
116983	1066
102465434	0
126789	535
54973	1873
102465435	0
80772	1492
83756	143
1855	2402
102466740	0
54587	1411
54998	2874
81669	2072
148413	485
55052	1578
441869	65
643965	0
102724312	7
64856	3981
219293	14
83858	502
55210	834
339453	4
29101	2917
643988	587
142678	856
8510	4
984	903
728661	1685
8511	0
728642	464
9906	355
65220	2132
2782	8184
105378949	8
163688	3
339456	22
85452	0
2563	63
5590	538
100506504	19
199990	1366
105378592	6
6497	2678
105378594	0
79906	74
100129534	10
11079	1951
5192	286
9651	14
55229	5
388585	0
115110	0
8764	24
100996583	0
127281	29
79258	2
100287898	0
140625	0
440556	3
63976	8
100422968	0
27237	829
1953	663
693135	0
127262	1595
49856	452
7161	55
57212	548
148870	0
388588	78
57470	1989
9731	788
1677	167
339448	331
100133612	10
728716	0
284661	2
55966	28
100616489	0
100616421	0
261734	228
8514	1682
26038	1
6146	3190
102724450	4
388591	46
23463	1216
148645	6
390992	0
387509	350
11332	889
54626	88
83715	929
100422975	0
8718	246
57449	204
79707	223
80835	0
3104	275
9903	958
148479	336
90326	158
55735	369
100505887	0
23261	251
9341	1000
8863	283
10911	84
3604	201
11315	2141
54206	201
102724539	0
50651	16
473	1428
102724552	2
2023	10929
102465436	0
100505975	2
765	0
155184	3
6518	395
80045	252
407040	1
9563	1667
80176	484
100506022	10
84275	228
199953	269
5293	1538
644997	10
101929074	5
22883	2399
56998	533
84328	222
64802	188
100847055	0
105376719	0
116362	6
10277	702
23095	396
100422970	0
5226	3000
100526739	0
378708	13
1325	0
1676	244
5195	302
54897	590
148345	13
23435	1242
10747	10
6723	1509
5394	699
2475	781
100873935	0
10218	0
29914	304
57540	6
101929181	0
26232	55
93611	257
26270	530
10459	597
374946	9
57085	1168
284498	3
102724659	0
4524	460
1185	162
100379251	1
4878	2
4879	0
26829	0
90231	1562
5351	1146
9927	1352
60672	576
102466982	0
943	108
102465836	0
7133	2525
100616438	0
55187	655
677885	2
9249	497
102466722	0
343066	0
126767	0
93190	0
390999	0
65121	0
440560	0
343069	0
65122	0
400735	0
343071	0
441871	0
440561	0
653606	0
102724742	0
101929983	0
649330	0
441873	0
649324	0
440563	0
645354	0
645359	0
101060301	0
343070	0
400736	0
391003	0
343068	0
391002	0
645382	0
653619	0
729528	0
645414	0
391004	0
645425	0
126755	2
10630	240
7799	617
23254	331
200197	4
55092	487
727684	0
114827	84
101927417	11
79180	2912
11330	0
63036	1
51032	0
842	184
23341	246
79814	72
84301	74
6248	47
23207	1715
284723	18
388595	0
54751	473
440567	73
729614	39
23013	860
7709	466
101928566	0
149563	20
27129	7
1187	0
1188	3
348487	2
1969	111
128272	426
101927546	1
79363	73
54455	340
26099	2226
374955	0
55707	1803
114819	23
26871	0
100126512	0
100126517	0
102724970	0
100133301	0
7195	0
55672	95
84809	231
11209	29
26869	0
729574	0
100126533	0
284729	0
100189045	0
102723383	0
6060	0
11223	2
100500876	0
100189298	0
7193	0
791226	0
9696	315
26870	0
4237	306
23400	1844
6390	723
11240	1467
29943	0
51702	2
100616188	0
23569	2
353238	1
55920	2881
55160	1039
81569	1
101927876	0
84966	21
127707	574
5081	374
80834	0
8659	995
100616120	0
100302276	0
126917	393
23352	1184
23065	597
51154	618
246181	7
22977	66
100506730	29
8574	913
54896	308
832	4242
100532736	0
440574	797
644068	25
4681	37
3362	1
255104	492
54546	0
23252	207
30814	0
5320	30
5322	0
26279	2664
64600	0
391013	0
127733	52
101928017	1
127731	0
339505	0
55450	753
79594	490
163933	8
978	190
65018	416
102464833	0
100861548	59
1650	3470
57576	92
400745	5
50809	1532
8672	578
100302155	0
1889	1467
100506801	17
84224	108
249	195
5909	397
84196	669
401944	10
3339	1219
23436	0
10136	0
101928043	2
29092	109
998	3251
54361	63
100616433	0
9923	505
2046	11
102466615	0
712	16194
714	11527
713	17230
2048	204
100616391	0
100422914	0
646262	0
729059	0
23028	991
100422866	0
100616177	0
7798	563
3352	189
100996511	16
10236	1535
80818	477
148898	14
6920	150
55616	293
1870	282
101928163	0
3399	583
259283	7
6135	5338
6924	632
100506963	10
57095	762
11313	1292
2582	537
3155	352
2517	1159
1269	16
100616492	0
55629	1303
10772	999
127294	19
58985	1
163702	88
284632	0
57822	141
90529	42
57185	367
100750325	5
11123	250
100506985	68
400746	10
10250	661
25932	1997
864	1049
102465437	0
100616365	0
25949	547
57035	692
6007	15
23585	804
6006	5
55219	468
26119	617
57134	278
57190	1837
56181	350
646471	45
79000	51
164091	103
3925	2043
100500808	0
5051	370
2134	3
7780	400
105376910	27
84676	0
149420	215
79927	71
105376887	0
51042	130
10256	68
378807	0
101928303	1
64793	237
83442	4644
91544	305
1043	886
55057	27
257101	593
79727	0
79947	384
101928324	0
3151	4327
6195	1567
100302190	0
101928728	7
8289	1661
55650	157
84243	919
2810	14
54707	326
63906	227
10726	1320
8431	0
126695	215
388610	102
115572	152
6548	1197
23038	1189
84065	547
644961	3
100887744	0
84958	558
9064	541
8547	8
388611	0
2827	3
10163	2192
27245	385
2268	948
2537	1497
199870	120
23673	570
5511	575
677774	0
9473	1366
6118	624
27293	224
55113	205
2140	282
5724	1902
22826	899
93974	751
83667	366
54797	265
65979	500
1104	688
8420	263
6080	2
26768	4
54952	197
85028	173
692212	5
677838	9
677825	6
692073	9
115273	153
6883	216
26824	0
10691	149
105376911	0
51441	1054
4985	8
2035	862
399474	47
6429	1091
51102	186
10076	53
101928460	0
101929406	0
4146	0
100129196	16
7805	10225
100616164	0
400748	0
9672	3826
9698	888
692234	0
692235	0
692200	0
79570	86
9410	428
51538	332
2170	441
347735	3203
149086	5
284551	4
64129	194
3061	0
553115	869
1307	428
576	147
100423028	0
90853	22
8073	2110
10657	1893
55116	134
100847018	0
23633	775
200081	983
79140	44
56063	88
55721	32
149069	7
8668	1637
339483	89
84734	67
3932	1404
3065	1446
65108	4713
100128071	12
81629	9
55108	963
728116	0
653121	59
339487	157
5928	1286
81493	20
57648	1990
8565	920
64766	197
252995	4
3208	0
113452	707
127544	1016
204	1113
113451	126
55223	277
149076	434
127550	0
1912	1536
100500853	0
101929464	0
7579	51
114784	15
127540	0
402779	0
84970	0
693137	0
2709	22
127534	1
2707	33
2701	100
113444	429
58512	94
653160	17
100506144	296
9204	188
79830	87
6421	2943
9202	422
79932	929
23154	942
339488	23
5690	1426
127703	181
63967	90
192670	309
26523	454
192669	185
27285	3
54936	561
1296	609
27095	666
55700	2461
9967	1261
79729	114
55194	701
83931	1180
84967	469
127700	36
64960	522
1441	704
2899	25
100422898	0
728431	35
80149	382
102465438	1
64769	504
100847010	0
79753	192
7802	13
29889	360
284654	28
54955	167
55143	191
284656	63
149175	169
79693	163
127687	952
4520	303
3633	230
10946	663
2275	235
51118	324
5453	117
100500801	0
339442	27
64121	557
100527950	0
26292	2
81025	0
54933	26
79647	995
4725	1581
23499	1278
643314	16
105378950	4
353500	82
728448	12
8761	2324
101929516	0
677834	1
26508	60
84618	0
51440	11
10450	428
656	28
64064	2
105378951	4
101929536	1
54802	171
4610	211
84879	420
10487	5235
5538	2926
6018	310
127391	0
10269	857
1298	133
64744	1978
65243	49
339559	37
64789	121
127396	46
9783	255
100130557	14
4802	706
407034	0
407031	0
9132	17
163732	288
1503	602
100507178	0
200172	2
22955	406
100132074	215
1907	81
59269	412
2981	0
2980	0
22887	528
284716	12
84217	16
79717	812
728621	7
10465	407
4904	8866
149461	2
64175	429
79078	110
100129924	1
374969	162
114625	207
51058	122
339539	0
6513	1433
440584	4
105378684	0
440585	0
10969	848
102465439	0
149465	5
128218	70
149466	51
7075	226
4352	1
991	623
64834	1395
102466723	0
112950	440
23334	507
102465440	0
81888	0
5792	7755
9682	1000
100132774	3
6487	101
101929592	0
102464830	0
9048	8
9670	564
1802	470
533	3343
8704	698
149473	118
6536	138
128209	0
105378952	0
55929	395
79033	698
100874278	4
55182	893
100847089	0
79639	84
339541	81
26828	0
26830	0
11004	429
6202	9492
26811	21
94161	2
94162	0
94163	6
266675	5
1263	381
343521	6
149478	50
8643	32
8891	252
79654	1096
7389	619
57643	34
400752	1
84842	4
4595	110
114034	168
10420	308
126661	26
25974	68
5052	8697
10327	2156
4678	1354
149483	14
60313	1324
728963	0
51249	334
3652	131
23139	1121
8503	1715
101929626	2
10103	358
55624	998
541468	10
8438	163
10489	1269
7388	1936
387338	323
2166	278
729041	1
101929651	0
127343	5
100507423	1
148930	0
8569	427
148932	312
64756	360
374973	0
100130197	1
9813	1413
1580	381
163720	176
1579	2
260293	607
199974	1493
284541	3
100874253	0
10158	33
6886	16
6491	173
51727	1425
102724077	5
2301	0
84793	15
2306	21
388630	6
391037	0
200010	8
54558	70
84871	12
79656	15
101929721	0
100874313	0
1996	6
63950	0
11124	403
1031	307
100616189	0
102466656	0
284546	0
26994	797
22996	680
102724097	3
2060	951
114883	607
4898	1276
100313892	0
5865	8
51060	717
112970	0
104355143	0
91408	632
9372	157
200014	514
4998	92
84950	435
23318	233
105378722	0
2882	100
348378	28
65260	151
79699	284
440590	44
55268	240
6342	1269
100616156	0
100616458	0
100616145	0
127435	365
6512	6
1376	433
54987	283
4116	310
100507564	10
7804	195
163742	0
63948	0
148979	13
105369175	1
55706	336
54432	498
1733	1
51668	152
115353	187
388633	0
9528	1676
127428	109
100616315	0
200008	0
606495	50
51253	968
23648	318
619518	0
26027	39
338094	6
374977	1
100527960	0
7268	6
25973	63
55001	63
163747	0
1718	4113
100126514	0
199964	2
7809	1
255738	4
23358	615
100507634	9
100616272	0
8613	830
5563	2
199920	0
731	0
732	0
1600	4
101926890	0
115209	163
4070	1488
114803	284
3725	1739
100131060	2
101926925	7
729467	1
55277	58
100616409	0
101926944	2
51361	151
1573	72
127795	0
101926964	0
100996570	2
4774	170
645030	0
414927	0
83941	176
10207	262
100422902	0
100422946	0
54596	18
163782	9
7398	510
85440	210
27329	0
84938	153
199899	0
100996301	0
27022	0
102464823	0
29929	137
23421	82
84455	63
79469	0
5236	438
4919	45
101927034	0
148581	0
57685	63
100616338	0
55225	81
3716	1908
101927084	0
105378775	0
100500854	0
406893	0
205	828
