Geneid	Samtools sort on 322(S)
100287102	0
653635	281
102466751	5
100302278	0
645520	0
79501	0
729737	215
102725121	1
102723897	227
102465909	0
729759	0
100132287	8
105378947	0
101928626	0
102465432	10316
81399	0
100133331	31
100288069	19
400728	0
79854	28
643837	129
284593	0
100130417	20
148398	21
26155	2655
339451	819
84069	79
84808	27
57801	1138
9636	2944
375790	6649
105369174	8
105378948	17
401934	10
54991	551
254099	4
406984	7
406983	5
554210	19
254173	20
8784	186
7293	137
51150	2903
126792	847
388581	45
118424	1245
6339	167
116983	1461
102465434	0
126789	250
54973	1739
102465435	0
80772	695
83756	96
1855	2561
102466740	0
54587	897
54998	1467
81669	2353
148413	173
55052	848
441869	71
643965	0
102724312	14
64856	2451
219293	97
83858	1669
55210	1327
339453	19
29101	2348
643988	154
142678	1359
8510	9
984	629
728661	1002
8511	1
728642	415
9906	222
65220	1383
2782	4112
105378949	3
163688	12
339456	11
85452	15
2563	62
5590	287
100506504	57
199990	756
105378592	4
6497	1862
105378594	10
79906	105
100129534	39
11079	1338
5192	466
9651	18
55229	6
388585	0
115110	2
8764	8
100996583	0
127281	9
79258	1
100287898	0
140625	0
440556	6
63976	38
100422968	0
27237	520
1953	518
693135	0
127262	515
49856	490
7161	47
57212	528
148870	4
388588	6
57470	1281
9731	549
1677	124
339448	268
100133612	5
728716	0
284661	2
55966	2
100616489	0
100616421	0
261734	368
8514	535
26038	8
6146	3393
102724450	0
388591	140
23463	1409
148645	1
390992	0
387509	343
11332	625
54626	90
83715	1153
100422975	0
8718	317
57449	405
79707	289
80835	0
3104	341
9903	851
148479	318
90326	210
55735	673
100505887	0
23261	195
9341	710
8863	70
10911	1
3604	83
11315	1782
54206	1220
102724539	0
50651	3
473	1298
102724552	1
2023	24819
102465436	0
100505975	1
765	1
155184	0
6518	121
80045	245
407040	3
9563	1259
80176	371
100506022	7
84275	433
199953	624
5293	766
644997	13
101929074	32
22883	1592
56998	633
84328	127
64802	86
100847055	0
105376719	4
116362	36
10277	555
23095	837
100422970	0
5226	1915
100526739	3
378708	10
1325	4
1676	327
5195	315
54897	642
148345	23
23435	2268
10747	18
6723	2203
5394	740
2475	984
100873935	0
10218	0
29914	236
57540	9
101929181	0
26232	91
93611	527
26270	453
10459	942
374946	77
57085	511
284498	0
102724659	0
4524	260
1185	152
100379251	2
4878	2
4879	0
26829	5
90231	2628
5351	3778
9927	1542
60672	968
102466982	0
943	40
102465836	0
7133	646
100616438	0
55187	487
677885	0
9249	295
102466722	0
343066	0
126767	0
93190	0
390999	0
65121	0
440560	0
343069	0
65122	0
400735	0
343071	0
441871	0
440561	0
653606	0
102724742	0
101929983	0
649330	0
441873	0
649324	0
440563	0
645354	0
645359	0
101060301	0
343070	0
400736	0
391003	0
343068	0
391002	0
645382	0
653619	0
729528	0
645414	0
391004	2
645425	0
126755	0
10630	238
7799	545
23254	488
200197	13
55092	233
727684	1
114827	24
101927417	2
79180	1134
11330	1
63036	0
51032	1
842	119
23341	200
79814	86
84301	102
6248	69
23207	1551
284723	103
388595	0
54751	548
440567	119
729614	39
23013	1187
7709	615
101928566	1
149563	3
27129	16
1187	2
1188	2
348487	32
1969	317
128272	1063
101927546	4
79363	37
54455	313
26099	2504
374955	1
55707	779
114819	51
26871	0
100126512	4
100126517	0
102724970	0
100133301	0
7195	0
55672	85
84809	402
11209	118
26869	0
729574	0
100126533	0
284729	6
100189045	0
102723383	0
6060	0
11223	22
100500876	0
100189298	0
7193	0
791226	0
9696	917
26870	0
4237	785
23400	1225
6390	600
11240	631
29943	0
51702	0
100616188	0
23569	3
353238	3
55920	7492
55160	968
81569	191
101927876	0
84966	37
127707	3
5081	2
80834	0
8659	96
100616120	0
100302276	0
126917	473
23352	1994
23065	1067
51154	941
246181	23
22977	45
100506730	75
8574	537
54896	307
832	2754
100532736	0
440574	590
644068	25
4681	21
3362	18
255104	387
54546	0
23252	198
30814	0
5320	5
5322	2
26279	143
64600	0
391013	0
127733	23
101928017	4
127731	0
339505	0
55450	86
79594	452
163933	15
978	22
65018	372
102464833	0
100861548	52
1650	3273
57576	13
400745	3
50809	1846
8672	658
100302155	0
1889	1234
100506801	7
84224	37
249	122
5909	158
84196	664
401944	6
3339	2824
23436	0
10136	0
101928043	1
29092	100
998	2360
54361	225
100616433	0
9923	440
2046	6
102466615	0
712	2276
714	2493
713	2339
2048	154
100616391	0
100422914	0
646262	0
729059	1
23028	3085
100422866	0
100616177	0
7798	499
3352	3
100996511	57
10236	2915
80818	457
148898	27
6920	187
55616	592
1870	694
101928163	0
3399	552
259283	0
6135	6429
6924	717
100506963	5
57095	787
11313	1227
2582	243
3155	199
2517	249
1269	3
100616492	0
55629	806
10772	1457
127294	6
58985	33
163702	94
284632	0
57822	21
90529	131
57185	274
100750325	0
11123	111
100506985	32
400746	6
10250	1060
25932	2275
864	509
102465437	0
100616365	0
25949	425
57035	758
6007	2
23585	521
6006	23
55219	452
26119	433
57134	112
57190	2549
56181	240
646471	55
79000	112
164091	128
3925	3384
100500808	0
5051	90
2134	19
7780	6
105376910	0
84676	0
149420	138
79927	32
105376887	0
51042	226
10256	513
378807	5
101928303	2
64793	432
83442	1384
91544	316
1043	125
55057	131
257101	102
79727	0
79947	355
101928324	0
3151	4238
6195	728
100302190	0
101928728	13
8289	2331
55650	116
84243	791
2810	801
54707	309
63906	188
10726	1929
8431	0
126695	455
388610	87
115572	264
6548	904
23038	705
84065	674
644961	22
100887744	0
84958	373
9064	404
8547	14
388611	0
2827	13
10163	2476
27245	965
2268	149
2537	5698
199870	82
23673	437
5511	619
677774	0
9473	289
6118	474
27293	238
55113	111
2140	427
5724	261
22826	990
93974	627
83667	298
54797	82
65979	519
1104	1197
8420	543
6080	6
26768	1
54952	161
85028	230
692212	21
677838	20
677825	9
692073	7
115273	49
6883	201
26824	0
10691	180
105376911	0
51441	1355
4985	0
2035	857
399474	89
6429	2154
51102	523
10076	663
101928460	0
101929406	0
4146	2
100129196	41
7805	2635
100616164	3
400748	0
9672	3615
9698	2159
692234	4
692235	0
692200	0
79570	65
9410	1111
51538	454
2170	23
347735	1470
149086	2
284551	2
64129	1345
3061	3
553115	1371
1307	2794
576	79
100423028	0
90853	36
8073	2145
10657	3380
55116	613
100847018	1
23633	1940
200081	2387
79140	464
56063	147
55721	109
149069	12
8668	3468
339483	127
84734	34
3932	247
3065	2815
65108	9533
100128071	109
81629	95
55108	2034
728116	7
653121	134
339487	220
5928	3600
81493	21
57648	5221
8565	2678
64766	332
252995	7
3208	11
113452	1465
127544	862
204	4325
113451	186
55223	156
149076	1559
127550	2
1912	2796
100500853	2
101929464	2
7579	108
114784	16
127540	0
402779	0
84970	0
693137	0
2709	56
127534	2
2707	263
2701	90
113444	630
58512	74
653160	73
100506144	348
9204	286
79830	223
6421	5389
9202	1253
79932	1020
23154	1020
339488	51
5690	3681
127703	361
63967	188
192670	260
26523	443
192669	221
27285	10
54936	1295
1296	593
27095	1079
55700	2948
9967	2346
79729	199
55194	565
83931	1689
84967	601
127700	61
64960	1288
1441	176
2899	19
100422898	0
728431	33
80149	578
102465438	9
64769	811
100847010	4
79753	334
7802	8
