Geneid	Samtools sort on 317(S)
100287102	0
653635	168
102466751	15
100302278	0
645520	0
79501	0
729737	480
102725121	2
102723897	205
102465909	1
729759	0
100132287	5
105378947	1
101928626	4
102465432	18
81399	0
100133331	54
100288069	7
400728	2
79854	41
643837	326
284593	1
100130417	71
148398	217
26155	3072
339451	521
84069	317
84808	115
57801	1740
9636	2536
375790	10155
105369174	94
105378948	245
401934	346
54991	721
254099	10
406984	24
406983	22
554210	87
254173	24
8784	620
7293	149
51150	4545
126792	818
388581	80
118424	2006
6339	217
116983	3137
102465434	0
126789	326
54973	2211
102465435	2
80772	1211
83756	309
1855	4220
102466740	0
54587	2902
54998	2095
81669	3360
148413	356
55052	1049
441869	94
643965	1
102724312	50
64856	2906
219293	270
83858	984
55210	598
339453	22
29101	3195
643988	838
142678	1600
8510	5
984	1016
728661	2272
8511	1
728642	462
9906	312
65220	1590
2782	8737
105378949	12
163688	51
339456	99
85452	19
2563	124
5590	440
100506504	65
199990	925
105378592	12
6497	1959
105378594	3
79906	105
100129534	21
11079	2479
5192	281
9651	58
55229	52
388585	0
115110	0
8764	24
100996583	0
127281	64
79258	0
100287898	0
140625	0
440556	5
63976	2
100422968	0
27237	1313
1953	1246
693135	0
127262	1376
49856	515
7161	140
57212	662
148870	9
388588	123
57470	1860
9731	819
1677	125
339448	384
100133612	3
728716	0
284661	0
55966	17
100616489	0
100616421	4
261734	476
8514	520
26038	34
6146	4778
102724450	15
388591	341
23463	2171
148645	7
390992	0
387509	753
11332	902
54626	737
83715	1473
100422975	0
8718	282
57449	605
79707	363
80835	2
3104	611
9903	1750
148479	769
90326	266
55735	706
100505887	0
23261	640
9341	1847
8863	302
10911	0
3604	23
11315	2684
54206	885
102724539	1
50651	51
473	3451
102724552	0
2023	20401
102465436	0
100505975	3
765	0
155184	0
6518	102
80045	443
407040	1
9563	1185
80176	893
100506022	15
84275	341
199953	528
5293	228
644997	0
101929074	4
22883	6731
56998	1242
84328	339
64802	183
100847055	3
105376719	0
116362	34
10277	1486
23095	2041
100422970	0
5226	1576
100526739	0
378708	24
1325	15
1676	473
5195	412
54897	932
148345	5
23435	2157
10747	82
6723	1324
5394	973
2475	1256
100873935	1
10218	0
29914	565
57540	20
101929181	0
26232	406
93611	625
26270	287
10459	484
374946	5
57085	718
284498	1
102724659	2
4524	507
1185	315
100379251	5
4878	4
4879	2
26829	0
90231	1735
5351	2529
9927	2160
60672	793
102466982	0
943	7
102465836	0
7133	363
100616438	0
55187	1277
677885	10
9249	2637
102466722	0
343066	0
126767	0
93190	1
390999	0
65121	0
440560	0
343069	0
65122	0
400735	0
343071	0
441871	0
440561	0
653606	0
102724742	0
101929983	0
649330	0
441873	0
649324	0
440563	0
645354	0
645359	0
101060301	0
343070	0
400736	0
391003	0
343068	0
391002	0
645382	0
653619	0
729528	0
645414	0
391004	0
645425	0
126755	0
10630	328
7799	1221
23254	350
200197	37
55092	404
727684	0
114827	46
101927417	2
79180	2366
11330	2
63036	1
51032	5
842	341
23341	537
79814	52
84301	165
6248	96
23207	1715
284723	65
388595	0
54751	1627
440567	44
729614	88
23013	1472
7709	635
101928566	0
149563	5
27129	27
1187	6
1188	7
348487	21
1969	856
128272	768
101927546	21
79363	50
54455	522
26099	2888
374955	3
55707	936
114819	161
26871	0
100126512	1
100126517	0
102724970	4
100133301	0
7195	0
55672	188
84809	475
11209	168
26869	0
729574	0
100126533	0
284729	24
100189045	0
102723383	0
6060	0
11223	56
100500876	0
100189298	0
7193	0
791226	2
9696	920
26870	0
4237	1047
23400	1535
6390	819
11240	2251
29943	67
51702	659
100616188	4
23569	1
353238	0
55920	5633
55160	1230
81569	52
101927876	0
84966	44
127707	128
5081	11
80834	0
8659	344
100616120	0
100302276	0
126917	790
23352	2250
23065	1549
51154	733
246181	17
22977	83
100506730	82
8574	979
54896	402
832	3922
100532736	0
440574	1054
644068	20
4681	34
3362	3
255104	235
54546	0
23252	419
30814	0
5320	0
5322	2
26279	45
64600	20
391013	0
127733	166
101928017	4
127731	1
339505	0
55450	1097
79594	610
163933	16
978	77
65018	1024
102464833	0
100861548	70
1650	6285
57576	16
400745	3
50809	2310
8672	1516
100302155	0
1889	5539
100506801	1
84224	106
249	75
5909	1339
84196	1052
401944	14
3339	3268
23436	1
10136	0
101928043	5
29092	171
998	4738
54361	87
100616433	0
9923	485
2046	10
102466615	0
712	1182
714	1541
713	1165
2048	356
100616391	0
100422914	0
646262	0
729059	1
23028	1800
100422866	0
100616177	0
7798	893
3352	30
100996511	132
10236	2167
80818	717
148898	39
6920	1288
55616	1138
1870	242
101928163	0
3399	914
259283	0
6135	6891
6924	1482
100506963	11
57095	988
11313	1682
2582	921
3155	308
2517	594
1269	2
100616492	0
55629	2023
10772	1566
127294	6
58985	3
163702	20
284632	0
57822	40
90529	120
57185	582
100750325	1
11123	332
100506985	53
400746	78
10250	967
25932	3625
864	337
102465437	0
100616365	0
25949	645
57035	1413
6007	0
23585	1112
6006	69
55219	795
26119	961
57134	303
57190	2718
56181	341
646471	88
79000	98
164091	301
3925	3192
100500808	0
5051	235
2134	16
7780	56
105376910	3
84676	0
149420	178
79927	36
105376887	2
51042	222
10256	589
378807	3
101928303	5
64793	473
83442	2550
91544	230
1043	33
55057	273
257101	8
79727	1471
79947	589
101928324	5
3151	3461
6195	1438
100302190	0
101928728	17
8289	2374
55650	213
84243	633
2810	599
54707	240
63906	188
10726	1702
8431	0
126695	397
388610	86
115572	285
6548	1607
23038	891
84065	376
644961	6
100887744	0
84958	624
9064	563
8547	11
388611	30
2827	11
10163	2408
27245	1062
2268	104
2537	3584
199870	74
23673	519
5511	341
677774	0
9473	354
6118	409
27293	147
55113	188
2140	287
5724	457
22826	753
93974	853
83667	647
54797	203
65979	706
1104	1390
8420	439
6080	15
26768	5
54952	393
85028	216
692212	4
677838	17
677825	13
692073	16
115273	55
6883	244
26824	2
10691	178
105376911	2
51441	1446
4985	4
2035	493
399474	185
6429	1648
51102	344
10076	2700
101928460	0
101929406	0
4146	5
100129196	22
7805	1859
100616164	0
400748	0
9672	2463
9698	1332
692234	0
692235	0
692200	0
79570	678
9410	497
51538	333
2170	66
