Geneid	Samtools sort on 314(R)
100287102	0
653635	82
102466751	6
100302278	0
645520	0
79501	0
729737	6
102725121	0
102723897	111
102465909	0
729759	0
100132287	3
105378947	2
101928626	1
102465432	11
81399	1
100133331	47
100288069	13
400728	6
79854	17
643837	363
284593	1
100130417	19
148398	77
26155	2243
339451	405
84069	153
84808	87
57801	1209
9636	742
375790	14578
105369174	25
105378948	101
401934	10
54991	545
254099	3
406984	12
406983	12
554210	50
254173	2
8784	493
7293	82
51150	5053
126792	1366
388581	46
118424	1207
6339	343
116983	2100
102465434	0
126789	236
54973	2225
102465435	0
80772	859
83756	28
1855	1911
102466740	0
54587	11920
54998	2107
81669	2901
148413	584
55052	1270
441869	125
643965	29
102724312	43
64856	8239
219293	162
83858	624
55210	625
339453	18
29101	2120
643988	581
142678	1484
8510	20
984	807
728661	1478
8511	4
728642	372
9906	541
65220	1385
2782	9097
105378949	6
163688	24
339456	73
85452	59
2563	152
5590	534
100506504	50
199990	1087
105378592	14
6497	2796
105378594	2
79906	248
100129534	20
11079	2286
5192	486
9651	13
55229	110
388585	0
115110	3
8764	6
100996583	0
127281	9
79258	0
100287898	0
140625	0
440556	9
63976	24
100422968	0
27237	1581
1953	1953
693135	0
127262	1025
49856	508
7161	56
57212	837
148870	5
388588	208
57470	1512
9731	666
1677	99
339448	330
100133612	2
728716	0
284661	0
55966	30
100616489	0
100616421	0
261734	370
8514	315
26038	16
6146	4900
102724450	10
388591	182
23463	2558
148645	25
390992	0
387509	705
11332	890
54626	347
83715	1365
100422975	0
8718	825
57449	412
79707	239
80835	3
3104	324
9903	844
148479	445
90326	167
55735	398
100505887	0
23261	451
9341	768
8863	431
10911	14
3604	5
11315	2730
54206	636
102724539	1
50651	97
473	2207
102724552	0
2023	8591
102465436	0
100505975	2
765	2
155184	0
6518	48
80045	66
407040	2
9563	1164
80176	954
100506022	24
84275	221
199953	356
5293	239
644997	0
101929074	32
22883	3522
56998	398
84328	266
64802	137
100847055	0
105376719	1
116362	27
10277	632
23095	566
100422970	0
5226	1251
100526739	0
378708	6
1325	3
1676	327
5195	279
54897	600
148345	6
23435	1476
10747	18
6723	963
5394	760
2475	775
100873935	0
10218	9
29914	425
57540	12
101929181	0
26232	582
93611	577
26270	205
10459	447
374946	13
57085	801
284498	14
102724659	0
4524	470
1185	226
100379251	1
4878	1
4879	0
26829	0
90231	1537
5351	2015
9927	1386
60672	392
102466982	0
943	12
102465836	0
7133	386
100616438	0
55187	682
677885	2
9249	540
102466722	0
343066	0
126767	0
93190	0
390999	0
65121	0
440560	0
343069	0
65122	0
400735	0
343071	0
441871	0
440561	0
653606	0
102724742	0
101929983	0
649330	0
441873	0
649324	0
440563	0
645354	0
645359	0
101060301	0
343070	0
400736	0
391003	0
343068	0
391002	0
645382	0
653619	0
729528	0
645414	0
391004	0
645425	0
126755	0
10630	389
7799	634
23254	334
200197	1
55092	273
727684	0
114827	57
101927417	4
79180	814
11330	1
63036	0
51032	2
842	239
23341	338
79814	17
84301	68
6248	46
23207	1237
284723	60
388595	42
54751	1006
440567	51
729614	41
23013	782
7709	502
101928566	0
149563	612
27129	89
1187	44
1188	34
348487	14
1969	199
128272	496
101927546	14
79363	88
54455	366
26099	2154
374955	0
55707	713
114819	43
26871	0
100126512	0
100126517	0
102724970	4
100133301	0
7195	0
55672	99
84809	268
11209	105
26869	0
729574	0
100126533	0
284729	40
100189045	0
102723383	0
6060	0
11223	85
100500876	0
100189298	0
7193	1
791226	0
9696	917
26870	0
4237	1425
23400	1518
6390	442
11240	207
29943	2
51702	165
100616188	0
23569	5
353238	2
55920	2983
55160	776
81569	14
101927876	0
84966	523
127707	606
5081	25
80834	0
8659	1079
100616120	0
100302276	0
126917	394
23352	1183
23065	748
51154	454
246181	9
22977	220
100506730	66
8574	1047
54896	285
832	3521
100532736	0
440574	776
644068	20
4681	117
3362	2
255104	365
54546	2
23252	141
30814	0
5320	8
5322	13
26279	13
64600	0
391013	0
127733	71
101928017	0
127731	9
339505	0
55450	1113
79594	910
163933	52
978	47
65018	706
102464833	0
100861548	49
1650	3022
57576	24
400745	6
50809	1427
8672	1009
100302155	0
1889	3906
100506801	1
84224	198
249	276
5909	268
84196	718
401944	8
3339	3212
23436	2
10136	0
101928043	3
29092	134
998	3945
54361	1448
100616433	0
9923	484
2046	13
102466615	0
712	1161
714	1403
713	1350
2048	202
100616391	0
100422914	0
646262	0
729059	0
23028	1279
100422866	0
100616177	0
7798	451
3352	4
100996511	40
10236	1588
80818	476
148898	9
6920	666
55616	1198
1870	45
101928163	0
3399	1356
259283	1
6135	4494
6924	591
100506963	4
57095	578
11313	1052
2582	493
3155	536
2517	267
1269	0
100616492	0
55629	1215
10772	982
127294	41
58985	2
163702	42
284632	1
57822	146
90529	108
57185	436
100750325	3
11123	229
100506985	49
400746	18
10250	725
25932	2314
864	143
102465437	0
100616365	0
25949	613
57035	793
6007	5
23585	811
6006	24
55219	517
26119	713
57134	208
57190	2680
56181	345
646471	56
79000	29
164091	378
3925	1291
100500808	0
5051	373
2134	15
7780	0
105376910	0
84676	3
149420	177
79927	38
105376887	0
51042	201
10256	456
378807	1
101928303	21
64793	401
83442	2445
91544	294
1043	59
55057	11
257101	6
79727	12
79947	566
101928324	4
3151	6125
6195	268
100302190	0
101928728	14
8289	1291
55650	202
84243	308
2810	847
54707	292
63906	153
10726	1740
8431	0
126695	348
388610	185
115572	688
6548	1321
23038	1221
84065	595
644961	3
100887744	0
84958	784
9064	897
8547	48
388611	26
2827	14
10163	2024
27245	915
2268	115
2537	2677
199870	127
23673	700
5511	457
677774	0
9473	279
6118	448
27293	233
55113	209
2140	228
5724	125
22826	982
93974	762
83667	463
54797	280
65979	497
1104	732
8420	119
6080	6
26768	0
54952	113
85028	116
692212	7
677838	7
677825	6
692073	1
115273	43
6883	273
26824	0
10691	126
105376911	0
51441	1039
4985	0
2035	523
399474	182
6429	1100
51102	233
10076	1350
101928460	0
101929406	0
4146	1
100129196	31
7805	1961
100616164	0
400748	0
9672	3057
9698	1056
692234	0
692235	0
692200	0
79570	746
9410	407
51538	307
2170	176
347735	3034
149086	4
284551	2
64129	975
3061	0
553115	827
1307	3147
576	570
100423028	0
90853	52
8073	2387
10657	1853
55116	173
100847018	0
23633	1143
200081	938
79140	116
56063	76
55721	72
149069	4
8668	2286
339483	79
84734	79
3932	75
3065	1515
65108	8177
100128071	43
81629	32
55108	1363
728116	4
653121	113
339487	105
5928	1247
81493	65
